DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Jan-2026,EQ,"300.85","301.65","292.55","300.10","295.20","294.90","295.27","376.95","135.49",327271,"9,66,34,908.10",6455
05-Jan-2026,EQ,"305.15","307.30","299.00","304.55","301.20","300.10","302.42","376.95","135.49",435914,"13,18,29,546.05",7507
02-Jan-2026,EQ,"304.40","306.00","296.80","303.05","305.00","304.55","301.84","376.95","135.49",775679,"23,41,27,390.75",10339
01-Jan-2026,EQ,"290.05","304.80","290.00","290.45","303.60","303.05","298.79","376.95","135.49",888506,"26,54,79,053.90",14632
31-Dec-2025,EQ,"282.40","298.55","281.00","281.35","291.00","290.45","292.37","376.95","135.49",1215180,"35,52,76,200.35",19129
30-Dec-2025,EQ,"281.40","288.90","279.00","281.40","281.00","281.35","281.78","376.95","135.49",568812,"16,02,77,060.45",10187
29-Dec-2025,EQ,"282.55","289.70","278.05","289.90","282.85","281.40","282.78","376.95","135.49",1113495,"31,48,78,851.90",17277
26-Dec-2025,EQ,"298.75","299.85","289.00","297.30","290.60","289.90","292.92","376.95","135.49",691202,"20,24,69,438.25",10837
24-Dec-2025,EQ,"304.35","307.75","296.20","302.20","298.30","297.30","301.10","376.95","135.49",545192,"16,41,57,755.85",8757
23-Dec-2025,EQ,"309.00","313.00","299.00","308.65","303.00","302.20","304.00","376.95","135.49",533592,"16,22,09,584.30",9908
22-Dec-2025,EQ,"310.00","311.25","306.15","308.95","308.00","308.65","308.53","376.95","135.49",347740,"10,72,89,188.80",5975
19-Dec-2025,EQ,"304.40","313.95","304.40","303.10","309.85","308.95","307.44","376.95","135.49",335026,"10,29,98,902.80",6025
18-Dec-2025,EQ,"304.00","305.25","298.70","304.75","303.90","303.10","302.53","376.95","135.49",372401,"11,26,63,613.80",8114
17-Dec-2025,EQ,"308.50","312.20","303.25","309.20","305.15","304.75","306.88","376.95","135.49",310210,"9,51,97,995.25",6744
16-Dec-2025,EQ,"314.70","316.05","308.00","314.85","308.50","309.20","312.42","376.95","135.49",352149,"11,00,18,939.75",5561
15-Dec-2025,EQ,"318.80","318.80","311.10","320.00","315.25","314.85","314.48","376.95","135.49",529510,"16,65,21,875.05",13257
12-Dec-2025,EQ,"309.80","322.95","307.55","307.80","320.50","320.00","316.25","376.95","135.49",783297,"24,77,19,386.55",12997
11-Dec-2025,EQ,"304.95","309.70","300.75","304.95","307.70","307.80","306.22","376.95","135.49",456520,"13,97,93,507.50",8904
10-Dec-2025,EQ,"303.20","315.00","303.00","303.20","303.20","304.95","308.41","376.95","135.49",751743,"23,18,47,954.00",14220
09-Dec-2025,EQ,"300.60","305.80","290.85","300.80","303.30","303.20","297.94","376.95","135.49",882566,"26,29,54,509.85",18986
08-Dec-2025,EQ,"308.35","310.00","297.20","308.70","301.90","300.80","302.41","376.95","135.49",771987,"23,34,56,073.95",11692
05-Dec-2025,EQ,"311.75","315.70","305.55","311.30","310.00","308.70","310.97","376.95","135.49",843794,"26,23,92,983.40",15675
04-Dec-2025,EQ,"322.80","322.80","310.10","321.75","311.00","311.30","314.66","376.95","135.49",644736,"20,28,73,932.00",12303
03-Dec-2025,EQ,"325.00","326.60","314.00","324.50","320.10","321.75","318.87","376.95","135.49",593124,"18,91,26,869.65",10854
02-Dec-2025,EQ,"335.95","339.55","322.15","334.35","324.00","324.50","326.99","376.95","135.49",682346,"22,31,20,172.45",13318
01-Dec-2025,EQ,"332.95","340.90","331.55","332.25","335.90","334.35","336.29","376.95","135.49",493853,"16,60,79,460.70",9921
28-Nov-2025,EQ,"333.85","343.25","331.10","331.35","332.50","332.25","336.45","376.95","135.49",737341,"24,80,79,645.00",11631
27-Nov-2025,EQ,"341.15","341.50","329.50","338.90","332.35","331.35","333.14","376.95","135.49",512301,"17,06,67,647.70",9125
26-Nov-2025,EQ,"325.20","344.90","325.20","324.90","338.80","338.90","338.53","376.95","135.49",1416191,"47,94,18,026.95",22523
25-Nov-2025,EQ,"330.45","330.90","322.05","330.05","327.00","324.90","326.21","376.95","135.49",585729,"19,10,68,423.50",14812
24-Nov-2025,EQ,"338.40","339.90","327.40","338.00","329.40","330.05","331.56","376.95","135.49",563044,"18,66,84,792.95",11543
21-Nov-2025,EQ,"346.50","349.00","335.35","344.85","338.45","338.00","340.97","376.95","135.49",784580,"26,75,19,658.30",14585
20-Nov-2025,EQ,"359.35","359.35","342.80","359.40","345.00","344.85","350.35","376.95","135.49",857000,"30,02,46,623.85",12776
19-Nov-2025,EQ,"355.50","362.85","350.00","355.70","358.80","359.40","358.60","376.95","135.49",1157260,"41,49,92,369.85",16252
18-Nov-2025,EQ,"354.35","363.40","347.25","351.30","352.65","355.70","357.14","376.95","135.49",1740223,"62,14,95,391.70",26853
17-Nov-2025,EQ,"354.00","354.75","342.60","353.65","351.95","351.30","348.91","376.95","135.49",1180410,"41,18,61,003.25",19757
14-Nov-2025,EQ,"369.45","370.35","351.00","371.60","355.00","353.65","358.86","376.95","135.49",1744063,"62,58,80,045.90",24293
13-Nov-2025,EQ,"358.00","376.95","354.25","356.40","369.50","371.60","366.86","376.95","135.49",6924073,"2,54,01,38,386.45",90337
12-Nov-2025,EQ,"320.35","363.00","320.00","314.45","354.30","356.40","353.92","363.00","135.49",14519762,"5,13,87,77,239.05",156889
11-Nov-2025,EQ,"313.45","316.60","310.00","313.05","313.95","314.45","313.58","330.35","135.49",556867,"17,46,24,210.00",9049
10-Nov-2025,EQ,"320.00","321.80","309.80","317.40","312.10","313.05","314.55","330.35","135.49",714245,"22,46,69,334.40",11465
07-Nov-2025,EQ,"319.70","320.00","309.50","320.25","315.80","317.40","313.75","330.35","135.49",1100710,"34,53,49,011.85",16037
